source_kind,category,code,label_en,label_ru,description_en,description_ru,occurrence_count,confidence,review_reason
embedded_tooltip,dialect-info,bra,Brazil,браз.,Brazilian,Бразильский вариант языка.,16,high,
embedded_tooltip,dialect-info,hob,Hokkaidō,Хоккайдо,Hokkaido-ben,Диалект Хоккайдо.,39,high,
embedded_tooltip,dialect-info,ksb,Kansai,Кансай,Kansai-ben,Диалект Кансая.,453,high,
embedded_tooltip,dialect-info,ktb,Kantō,Канто,Kantou-ben,Диалект Канто.,71,high,
embedded_tooltip,dialect-info,kyb,Kyōto,Киото,Kyoto-ben,Диалект Киото.,44,high,
embedded_tooltip,dialect-info,kyu,Kyūshū,Кюсю,Kyuushuu-ben,Диалект Кюсю.,28,high,
embedded_tooltip,dialect-info,nab,Nagano,Нагано,Nagano-ben,Диалект Нагано.,3,high,
embedded_tooltip,dialect-info,osb,Ōsaka,Осака,Osaka-ben,Диалект Осаки.,87,high,
embedded_tooltip,dialect-info,rkb,Ryūkyū,Рюкю,Ryuukyuu-ben,Диалект Рюкю.,128,high,
embedded_tooltip,dialect-info,thb,Tōhoku,Тохоку,Touhoku-ben,Диалект Тохоку.,39,high,
embedded_tooltip,dialect-info,tsb,Tosa,Тоса,Tosa-ben,Диалект Тосы.,5,high,
embedded_tooltip,dialect-info,tsug,Tsugaru,Цугару,Tsugaru-ben,Диалект Цугару.,6,high,
embedded_tooltip,field-info,Buddh,Buddhism,буддизм,Buddhism,Буддизм.,2028,high,
embedded_tooltip,field-info,Christn,Christian,христ.,Christianity,Христианство.,231,high,
embedded_tooltip,field-info,MA,martial arts,единобор.,martial arts,Боевые искусства.,329,high,
embedded_tooltip,field-info,Shinto,Shintō,синто,Shinto,Синтоизм.,246,high,
embedded_tooltip,field-info,agric,agriculture,с.-х.,agriculture,Сельское хозяйство.,56,high,
embedded_tooltip,field-info,anat,anatomy,анат.,anatomy,Анатомия.,1022,high,
embedded_tooltip,field-info,archeol,archeology,археол.,archeology,Археология.,47,high,
embedded_tooltip,field-info,archit,architecture,архит.,architecture,Архитектура.,220,high,
embedded_tooltip,field-info,art,art,искусство,"art, aesthetics","Искусство, эстетика.",154,high,
embedded_tooltip,field-info,astron,astronomy,астрон.,astronomy,Астрономия.,881,high,
embedded_tooltip,field-info,audvid,audiovisual,аудиовиз.,audiovisual,Аудиовизуальная сфера.,2,high,
embedded_tooltip,field-info,aviat,aviation,авиация,aviation,Авиация.,96,high,
embedded_tooltip,field-info,baseb,baseball,бейсбол,baseball,Бейсбол.,888,high,
embedded_tooltip,field-info,biochem,biochemistry,биохим.,biochemistry,Биохимия.,114,high,
embedded_tooltip,field-info,biol,biology,биология,biology,Биология.,584,high,
embedded_tooltip,field-info,bot,botany,бот.,botany,Ботаника.,429,high,
embedded_tooltip,field-info,boxing,boxing,бокс,boxing,Бокс.,66,high,
embedded_tooltip,field-info,bus,business,бизнес,business,Бизнес.,211,high,
embedded_tooltip,field-info,cards,card games,карт.,card games,Карточные игры.,275,high,
embedded_tooltip,field-info,chem,chemistry,химия,chemistry,Химия.,1324,high,
embedded_tooltip,field-info,chmyth,Chinese myth.,кит. миф.,Chinese mythology,Китайская мифология.,23,high,
embedded_tooltip,field-info,civeng,civil eng.,гражд. строит.,civil engineering,Гражданское строительство.,17,high,
embedded_tooltip,field-info,cloth,clothing,одежда,clothing,Одежда.,112,high,
embedded_tooltip,field-info,comp,computing,выч. тех.,computing,Вычислительная техника и информатика.,14016,medium,Английское computing охватывает несколько близких областей.
embedded_tooltip,field-info,cryst,crystal,кристаллогр.,crystallography,Кристаллография.,11,high,
embedded_tooltip,field-info,dent,dentistry,стомат.,dentistry,Стоматология.,51,high,
embedded_tooltip,field-info,ecol,ecology,экол.,ecology,Экология.,15,high,
embedded_tooltip,field-info,econ,economics,экон.,economics,Экономика.,160,high,
embedded_tooltip,field-info,elec,electricity,электротехн.,"electricity, elec. eng.",Электричество и электротехника.,111,high,
embedded_tooltip,field-info,electr,electronics,электроника,electronics,Электроника.,133,high,
embedded_tooltip,field-info,embryo,embryology,эмбр.,embryology,Эмбриология.,14,high,
embedded_tooltip,field-info,engr,engineering,инж.,engineering,Инженерное дело.,78,high,
embedded_tooltip,field-info,ent,entomology,энтомол.,entomology,Энтомология.,18,high,
embedded_tooltip,field-info,figskt,skating,фигур. катание,figure skating,Фигурное катание.,35,high,
embedded_tooltip,field-info,film,film,кино,film,Кино.,65,high,
embedded_tooltip,field-info,finc,finance,фин.,finance,Финансы.,518,high,
embedded_tooltip,field-info,fish,fishing,рыб.,fishing,Рыболовство.,120,high,
embedded_tooltip,field-info,food,food,еда,"food, cooking",Пища и кулинария.,3475,high,
embedded_tooltip,field-info,gardn,gardening,сад.,"gardening, horticulture","Садоводство, растениеводство",14,high,
embedded_tooltip,field-info,genet,genetics,ген.,genetics,Генетика.,91,high,
embedded_tooltip,field-info,geogr,geography,геогр.,geography,География.,20,high,
embedded_tooltip,field-info,geol,geology,геол.,geology,Геология.,394,high,
embedded_tooltip,field-info,geom,geometry,геом.,geometry,Геометрия.,85,high,
embedded_tooltip,field-info,go,go (game),го,go (game),"Го, настольная игра.",407,high,
embedded_tooltip,field-info,golf,golf,гольф,golf,Гольф.,202,high,
embedded_tooltip,field-info,gramm,grammar,грамм.,grammar,Грамматика.,473,high,
embedded_tooltip,field-info,grmyth,Greek myth.,греч. миф.,Greek mythology,Древнегреческая мифология.,118,high,
